index,col1,col2,col3-bioproject,col4-biosample,col5,col7-organism,col5_is_acc,biosample_uid,assembly_uid,assembly_accession,url,organism
14,NZ,457401,PRJNA224116,SAMN02463705,GCF_000158415.2,Escherichia_sp._4_1_40B,True,2463705,395418,GCF_000158415.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/415/GCF_000158415.2_Escherichia_sp_4_1_40B_V2/GCF_000158415.2_Escherichia_sp_4_1_40B_V2_genomic.fna.gz,Escherichia sp. 4_1_40B (enterobacteria)
15,NZ,469598,PRJNA224116,SAMN02463704,GCF_000157115.1,Escherichia_sp._3_2_53FAA,True,2463704,376301,GCF_000157115.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/115/GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2/GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2_genomic.fna.gz,Escherichia coli (E. coli)
16,NZ,502347,PRJNA224116,SAMN02436276,GCF_000155105.1,Escherichia_albertii_TW07627,True,2436276,181178,GCF_000155105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/105/GCF_000155105.1_ASM15510v1/GCF_000155105.1_ASM15510v1_genomic.fna.gz,Escherichia albertii TW07627 (enterobacteria)
17,NZ,550694,PRJNA224116,SAMN02596695,GCF_000190495.1,Escherichia_fergusonii_B253,True,2596695,462348,GCF_000190495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/495/GCF_000190495.1_ASM19049v1/GCF_000190495.1_ASM19049v1_genomic.fna.gz,Escherichia fergusonii B253 (enterobacteria)
18,NZ,564,PRJNA224116,SAMN03389646,GCF_000968895.1,Escherichia_fergusonii,True,3389646,632911,GCF_000968895.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/895/GCF_000968895.2_ASM96889v2/GCF_000968895.2_ASM96889v2_genomic.fna.gz,Escherichia fergusonii (enterobacteria)
19,NZ,564,PRJNA224116,SAMN03400068,GCF_000968885.1,Escherichia_fergusonii,True,3400068,632931,GCF_000968885.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/885/GCF_000968885.2_ASM96888v2/GCF_000968885.2_ASM96888v2_genomic.fna.gz,Escherichia fergusonii (enterobacteria)
20,NZ,564,PRJNA224116,SAMN03400083,GCF_000968905.1,Escherichia_fergusonii,True,3400083,632921,GCF_000968905.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/905/GCF_000968905.2_ASM96890v2/GCF_000968905.2_ASM96890v2_genomic.fna.gz,Escherichia fergusonii (enterobacteria)
21,NZ,754327,PRJNA190203,SAMN02469839,NZ_AEJW,Escherichia_sp._TW09231,False,2469839,542218,GCF_000208465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/465/GCF_000208465.1_ASM20846v2/GCF_000208465.1_ASM20846v2_genomic.fna.gz,Escherichia sp. TW09231 (enterobacteria)
22,NZ,754330,PRJNA190202,SAMN02469834,NZ_AEJV,Escherichia_sp._TW09276,False,2469834,542198,GCF_000208445.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/445/GCF_000208445.1_ASM20844v2/GCF_000208445.1_ASM20844v2_genomic.fna.gz,Escherichia sp. TW09276 (enterobacteria)
23,NZ,754331,PRJNA80729,SAMN02469841,NZ_AEME,Escherichia_sp._TW09308,False,2469841,325308,GCF_000208565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/565/GCF_000208565.1_ASM20856v2/GCF_000208565.1_ASM20856v2_genomic.fna.gz,Escherichia sp. TW09308 (enterobacteria)
24,NZ,754332,PRJNA190207,SAMN02469840,NZ_AEKA,Escherichia_sp._TW10509,False,2469840,542298,GCF_000208545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/545/GCF_000208545.1_ASM20854v2/GCF_000208545.1_ASM20854v2_genomic.fna.gz,Escherichia sp. TW10509 (enterobacteria)
25,NZ,754336,PRJNA224116,SAMN02469845,NZ_AEJZ,Escherichia_sp._TW14182,False,2469845,542278,GCF_000208525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/525/GCF_000208525.1_ASM20852v2/GCF_000208525.1_ASM20852v2_genomic.fna.gz,Escherichia sp. TW14182 (enterobacteria)
26,NZ,909209,PRJNA190201,SAMN02469843,NZ_AEJU,Escherichia_albertii_TW08933,False,2469843,542178,GCF_000208425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/425/GCF_000208425.1_ASM20842v2/GCF_000208425.1_ASM20842v2_genomic.fna.gz,Escherichia albertii TW08933 (enterobacteria)
27,NZ,910237,PRJNA224116,SAMN02469832,NZ_AEJX,Escherichia_sp._TW15838,False,2469832,542238,GCF_000208485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/485/GCF_000208485.1_ASM20848v2/GCF_000208485.1_ASM20848v2_genomic.fna.gz,Escherichia sp. TW15838 (enterobacteria)
28,NZ,910238,PRJNA190205,SAMN02469844,NZ_AEJY,Escherichia_albertii_TW15818,False,2469844,542258,GCF_000208505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/505/GCF_000208505.1_ASM20850v2/GCF_000208505.1_ASM20850v2_genomic.fna.gz,Escherichia albertii TW15818 (enterobacteria)
29,NZ,981367,PRJNA224116,SAMN02470542,GCF_000191665.1,Escherichia_fergusonii_ECD227,True,2470542,495568,GCF_000191665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/665/GCF_000191665.1_ecmda7/GCF_000191665.1_ecmda7_genomic.fna.gz,Escherichia fergusonii ECD227 (enterobacteria)
30,NC,198214,PRJNA62907,,,Shigella_flexneri_2a_str._301,False,,,,,
31,NC,216599,PRJNA224116,,GCF_000283715.1,Shigella_sonnei_53G,True,,406998,GCF_000283715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/715/GCF_000283715.1_ASM28371v1/GCF_000283715.1_ASM28371v1_genomic.fna.gz,Shigella sonnei 53G (enterobacteria)
32,NC,300267,PRJNA58213,,,Shigella_dysenteriae_Sd197,False,,,,,
33,NC,300268,PRJNA224116,SAMN02603601,GCF_000012025.1,Shigella_boydii_Sb227,True,2603601,33128,GCF_000012025.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/025/GCF_000012025.1_ASM1202v1/GCF_000012025.1_ASM1202v1_genomic.fna.gz,Shigella boydii Sb227 (enterobacteria)
34,NC,300269,PRJNA224116,SAMN02603602,GCF_000092525.1,Shigella_sonnei_Ss046,True,2603602,114118,GCF_000092525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/525/GCF_000092525.1_ASM9252v1/GCF_000092525.1_ASM9252v1_genomic.fna.gz,Shigella sonnei Ss046 (enterobacteria)
35,NC,373384,PRJNA224116,SAMN02603604,GCF_000013585.1,Shigella_flexneri_5_str._8401,True,2603604,34688,GCF_000013585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/585/GCF_000013585.1_ASM1358v1/GCF_000013585.1_ASM1358v1_genomic.fna.gz,Shigella flexneri 5 str. 8401 (enterobacteria)
36,NC,591020,PRJNA224116,SAMN02603122,GCF_000022245.1,Shigella_flexneri_2002017,True,2603122,371978,GCF_000022245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/245/GCF_000022245.1_ASM2224v1/GCF_000022245.1_ASM2224v1_genomic.fna.gz,Shigella flexneri 2002017 (enterobacteria)
37,NZ,1118236,PRJNA224116,SAMN03276475,NZ_AMJZ,Shigella_boydii_08_0009,False,3276475,241511,GCF_000815685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/685/GCF_000815685.1_ASM81568v1/GCF_000815685.1_ASM81568v1_genomic.fna.gz,Shigella boydii 08-0009 (enterobacteria)
38,NZ,1210043,PRJNA224116,SAMN03025773,NZ_AMWM,Shigella_flexneri_S5644,False,3025773,247111,GCF_000826695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/695/GCF_000826695.1_ASM82669v1/GCF_000826695.1_ASM82669v1_genomic.fna.gz,Shigella flexneri S5644 (enterobacteria)
39,NZ,1210044,PRJNA224116,SAMN03276474,NZ_ANAN,Shigella_flexneri_S6162,False,3276474,241641,GCF_000815945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/945/GCF_000815945.1_ASM81594v1/GCF_000815945.1_ASM81594v1_genomic.fna.gz,Shigella flexneri S6162 (enterobacteria)
40,NZ,1212562,PRJNA224116,SAMN03276476,NZ_AMJP,Shigella_flexneri_S5717,False,3276476,241411,GCF_000815485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/485/GCF_000815485.1_ASM81548v1/GCF_000815485.1_ASM81548v1_genomic.fna.gz,Shigella flexneri S5717 (enterobacteria)
41,NZ,1212563,PRJNA224116,SAMN03276472,NZ_AMJQ,Shigella_dysenteriae_S6205,False,3276472,241441,GCF_000815495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/495/GCF_000815495.1_ASM81549v1/GCF_000815495.1_ASM81549v1_genomic.fna.gz,Shigella dysenteriae S6205 (enterobacteria)
42,NZ,1212564,PRJNA224116,SAMN03276480,NZ_AMJR,Shigella_sonnei_S6513,False,3276480,241421,GCF_000815505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/505/GCF_000815505.1_ASM81550v1/GCF_000815505.1_ASM81550v1_genomic.fna.gz,Shigella sonnei S6513 (enterobacteria)
43,NZ,1212565,PRJNA224116,SAMN03276471,NZ_AMJS,Shigella_dysenteriae_S6554,False,3276471,241431,GCF_000815515.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/515/GCF_000815515.1_ASM81551v1/GCF_000815515.1_ASM81551v1_genomic.fna.gz,Shigella dysenteriae S6554 (enterobacteria)
44,NZ,1212566,PRJNA224116,SAMN03276487,NZ_AMJT,Shigella_flexneri_S6585,False,3276487,241451,GCF_000815565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/565/GCF_000815565.1_ASM81556v1/GCF_000815565.1_ASM81556v1_genomic.fna.gz,Shigella flexneri S6585 (enterobacteria)
45,NZ,1212567,PRJNA224116,SAMN03276467,NZ_AMJU,Shigella_boydii_S6614,False,3276467,241471,GCF_000815585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/585/GCF_000815585.1_ASM81558v1/GCF_000815585.1_ASM81558v1_genomic.fna.gz,Shigella boydii S6614 (enterobacteria)
46,NZ,1212568,PRJNA224116,SAMN03276483,NZ_AMJV,Shigella_flexneri_S6678,False,3276483,241461,GCF_000815595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/595/GCF_000815595.1_ASM81559v1/GCF_000815595.1_ASM81559v1_genomic.fna.gz,Shigella flexneri S6678 (enterobacteria)
47,NZ,1212569,PRJNA224116,SAMN03276468,NZ_AMJW,Shigella_flexneri_S6764,False,3276468,241481,GCF_000815625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/625/GCF_000815625.1_ASM81562v1/GCF_000815625.1_ASM81562v1_genomic.fna.gz,Shigella flexneri S6764 (enterobacteria)
48,NZ,1212570,PRJNA224116,SAMN03276488,NZ_AMJX,Shigella_boydii_S7334,False,3276488,241491,GCF_000815645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/645/GCF_000815645.1_ASM81564v1/GCF_000815645.1_ASM81564v1_genomic.fna.gz,Shigella boydii S7334 (enterobacteria)
49,NZ,1212571,PRJNA224116,SAMN03276486,NZ_AMJY,Shigella_flexneri_S7737,False,3276486,241501,GCF_000815665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/665/GCF_000815665.1_ASM81566v1/GCF_000815665.1_ASM81566v1_genomic.fna.gz,Shigella flexneri S7737 (enterobacteria)
50,NZ,1212573,PRJNA224116,SAMN03276466,NZ_AMKA,Shigella_boydii_08_0280,False,3276466,241521,GCF_000815705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/705/GCF_000815705.1_ASM81570v1/GCF_000815705.1_ASM81570v1_genomic.fna.gz,Shigella boydii 08-0280 (enterobacteria)
51,NZ,1212574,PRJNA224116,SAMN03276484,NZ_AMKB,Shigella_boydii_08_2671,False,3276484,241531,GCF_000815725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/725/GCF_000815725.1_ASM81572v1/GCF_000815725.1_ASM81572v1_genomic.fna.gz,Shigella boydii 08-2671 (enterobacteria)
52,NZ,1212575,PRJNA224116,SAMN03276479,NZ_AMKC,Shigella_boydii_08_2675,False,3276479,241541,GCF_000815735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/735/GCF_000815735.1_ASM81573v1/GCF_000815735.1_ASM81573v1_genomic.fna.gz,Shigella boydii 08-2675 (enterobacteria)
53,NZ,1212576,PRJNA224116,SAMN03276473,NZ_AMKD,Shigella_boydii_08_6341,False,3276473,241551,GCF_000815765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/765/GCF_000815765.1_ASM81576v1/GCF_000815765.1_ASM81576v1_genomic.fna.gz,Shigella boydii 08-6341 (enterobacteria)
54,NZ,1212577,PRJNA224116,SAMN03276477,NZ_AMKE,Shigella_boydii_09_0344,False,3276477,241561,GCF_000815785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/785/GCF_000815785.1_ASM81578v1/GCF_000815785.1_ASM81578v1_genomic.fna.gz,Shigella boydii 09-0344 (enterobacteria)
55,NZ,1212578,PRJNA224116,SAMN03276489,NZ_AMKF,Shigella_flexneri_MT1457,False,3276489,241601,GCF_000815805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/805/GCF_000815805.1_ASM81580v1/GCF_000815805.1_ASM81580v1_genomic.fna.gz,Shigella flexneri MT1457 (enterobacteria)
56,NZ,1212579,PRJNA224116,SAMN03276485,NZ_AMKG,Shigella_boydii_248_1B,False,3276485,241581,GCF_000815835.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/835/GCF_000815835.1_ASM81583v1/GCF_000815835.1_ASM81583v1_genomic.fna.gz,Shigella boydii 248-1B (enterobacteria)
57,NZ,1212580,PRJNA224116,SAMN03276481,NZ_AMKH,Shigella_sonnei_08_7761,False,3276481,241571,GCF_000815815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/815/GCF_000815815.1_ASM81581v1/GCF_000815815.1_ASM81581v1_genomic.fna.gz,Shigella sonnei 08-7761 (enterobacteria)
58,NZ,1212581,PRJNA224116,SAMN03276482,NZ_AMKI,Shigella_sonnei_08_7765,False,3276482,241591,GCF_000815825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/825/GCF_000815825.1_ASM81582v1/GCF_000815825.1_ASM81582v1_genomic.fna.gz,Shigella sonnei 08-7765 (enterobacteria)
59,NZ,1212582,PRJNA224116,SAMN03276469,NZ_AMKJ,Shigella_sonnei_09_1032,False,3276469,241611,GCF_000815885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/885/GCF_000815885.1_ASM81588v1/GCF_000815885.1_ASM81588v1_genomic.fna.gz,Shigella sonnei 09-1032 (enterobacteria)
60,NZ,1212583,PRJNA224116,SAMN03276470,NZ_AMKK,Shigella_sonnei_09_2245,False,3276470,241621,GCF_000815905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/905/GCF_000815905.1_ASM81590v1/GCF_000815905.1_ASM81590v1_genomic.fna.gz,Shigella sonnei 09-2245 (enterobacteria)
61,NZ,1212584,PRJNA224116,SAMN03276478,NZ_AMKL,Shigella_sonnei_09_4962,False,3276478,241631,GCF_000815925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/925/GCF_000815925.1_ASM81592v1/GCF_000815925.1_ASM81592v1_genomic.fna.gz,Shigella sonnei 09-4962 (enterobacteria)
62,NZ,1282357,PRJNA224116,SAMN02999960,GCF_000743955.1,Shigella_flexneri_2003036,True,2999960,205481,GCF_000743955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/955/GCF_000743955.1_ASM74395v1/GCF_000743955.1_ASM74395v1_genomic.fna.gz,Shigella flexneri 2003036 (enterobacteria)
63,NZ,1282358,PRJNA224116,SAMN02999961,GCF_000743995.1,Shigella_flexneri_Shi06HN006,True,2999961,205491,GCF_000743995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/995/GCF_000743995.1_ASM74399v1/GCF_000743995.1_ASM74399v1_genomic.fna.gz,Shigella flexneri Shi06HN006 (enterobacteria)
64,NZ,1290392,PRJNA224116,SAMN02470147,NZ_AWOX,Shigella_flexneri_II_3_4_7_8_,False,2470147,78471,GCF_000493265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/265/GCF_000493265.1_Shigella_flexneri_II_3_4_7_8_1.0/GCF_000493265.1_Shigella_flexneri_II_3_4_7_8_1.0_genomic.fna.gz,"Shigella flexneri II:(3)4,7(8) (enterobacteria)"
65,NZ,1353978,PRJNA224116,SAMN02469676,NZ_AURV,Shigella_sonnei_1DT_1,False,2469676,63931,GCF_000467205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/467/205/GCF_000467205.1_Shigella_sonnei_strain_1DT-1/GCF_000467205.1_Shigella_sonnei_strain_1DT-1_genomic.fna.gz,Shigella sonnei 1DT-1 (enterobacteria)
66,NZ,1353980,PRJNA224116,SAMN02469677,NZ_AURX,Shigella_dysenteriae_SD1D,False,2469677,63951,GCF_000467245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/467/245/GCF_000467245.1_Shigella_dysenteriae_strain_SD1D/GCF_000467245.1_Shigella_dysenteriae_strain_SD1D_genomic.fna.gz,Shigella dysenteriae SD1D (enterobacteria)
67,NZ,1401259,PRJNA224116,SAMN03083603,NZ_AXUU,Shigella_dysenteriae_WRSd5,False,3083603,81571,GCF_000499085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/085/GCF_000499085.1_RRH_AFF/GCF_000499085.1_RRH_AFF_genomic.fna.gz,Shigella dysenteriae WRSd5 (enterobacteria)
68,NZ,1401327,PRJNA224116,SAMN03083602,NZ_AXUT,Shigella_dysenteriae_WRSd3,False,3083602,81561,GCF_000499065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/065/GCF_000499065.1_XNQ_WAC/GCF_000499065.1_XNQ_WAC_genomic.fna.gz,Shigella dysenteriae WRSd3 (enterobacteria)
69,NZ,1434128,PRJNA224116,SAMN02437363,NZ_AZOG,Shigella_flexneri_Shi06AH66,False,2437363,115271,GCF_000565505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/505/GCF_000565505.1_ASM56550v1/GCF_000565505.1_ASM56550v1_genomic.fna.gz,Shigella flexneri Shi06AH66 (enterobacteria)
70,NZ,1434129,PRJNA224116,SAMN02437364,NZ_AZOH,Shigella_flexneri_Shi06GS43,False,2437364,115281,GCF_000565525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/525/GCF_000565525.1_ASM56552v1/GCF_000565525.1_ASM56552v1_genomic.fna.gz,Shigella flexneri Shi06GS43 (enterobacteria)
71,NZ,1434130,PRJNA224116,SAMN02437365,NZ_AZOI,Shigella_flexneri_Shi06AH116,False,2437365,115291,GCF_000565545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/545/GCF_000565545.1_ASM56554v1/GCF_000565545.1_ASM56554v1_genomic.fna.gz,Shigella flexneri Shi06AH116 (enterobacteria)
72,NZ,1434131,PRJNA224116,SAMN02437366,NZ_AZOJ,Shigella_flexneri_Shi06GS07,False,2437366,115301,GCF_000565565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/565/GCF_000565565.1_ASM56556v1/GCF_000565565.1_ASM56556v1_genomic.fna.gz,Shigella flexneri Shi06GS07 (enterobacteria)
73,NZ,1434132,PRJNA224116,SAMN02437367,NZ_AZOK,Shigella_flexneri_Shi06GS48,False,2437367,115311,GCF_000565585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/585/GCF_000565585.1_ASM56558v1/GCF_000565585.1_ASM56558v1_genomic.fna.gz,Shigella flexneri Shi06GS48 (enterobacteria)
74,NZ,1434133,PRJNA224116,SAMN02437368,NZ_AZOL,Shigella_flexneri_Shi06HN118,False,2437368,115321,GCF_000565605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/605/GCF_000565605.1_ASM56560v1/GCF_000565605.1_ASM56560v1_genomic.fna.gz,Shigella flexneri Shi06HN118 (enterobacteria)
75,NZ,1434134,PRJNA224116,SAMN02437369,NZ_AZOM,Shigella_flexneri_Shi06HN023,False,2437369,115331,GCF_000565625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/625/GCF_000565625.1_ASM56562v1/GCF_000565625.1_ASM56562v1_genomic.fna.gz,Shigella flexneri Shi06HN023 (enterobacteria)
76,NZ,1434135,PRJNA224116,SAMN02437370,NZ_AZON,Shigella_flexneri_2005AH264,False,2437370,115341,GCF_000565645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/645/GCF_000565645.1_ASM56564v1/GCF_000565645.1_ASM56564v1_genomic.fna.gz,Shigella flexneri 2005AH264 (enterobacteria)
77,NZ,1434136,PRJNA224116,SAMN02437371,NZ_AZOO,Shigella_flexneri_Shi06AH135,False,2437371,115351,GCF_000565665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/665/GCF_000565665.1_ASM56566v1/GCF_000565665.1_ASM56566v1_genomic.fna.gz,Shigella flexneri Shi06AH135 (enterobacteria)
78,NZ,1434137,PRJNA224116,SAMN02437372,NZ_AZOP,Shigella_flexneri_Shi06HN378,False,2437372,115361,GCF_000565685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/685/GCF_000565685.1_ASM56568v1/GCF_000565685.1_ASM56568v1_genomic.fna.gz,Shigella flexneri Shi06HN378 (enterobacteria)
79,NZ,1434138,PRJNA224116,SAMN02437373,NZ_AZOQ,Shigella_flexneri_Shi06HN016,False,2437373,115371,GCF_000565705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/705/GCF_000565705.1_ASM56570v1/GCF_000565705.1_ASM56570v1_genomic.fna.gz,Shigella flexneri Shi06HN016 (enterobacteria)
