data_set,ds_index,alt_loci_count,chromosome_count,contig_count,contig_l50,contig_n50,non_chromosome_replicon_count,replicon_count,scaffold_count,scaffold_count_placed,scaffold_count_unlocalized,scaffold_count_unplaced,scaffold_l50,scaffold_n50,total_length,ungapped_length,assembly-level,assembly-status,representative-status,submitter-organization,taxonomy-check-status
konstantinidis_2005,23,0,1,1,1,5339179,0,1,1,1,0,0,1,5339179,5339179,5339179,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,24,0,1,2,1,4887379,1,2,2,2,0,0,1,4887379,4899574,4899574,90,Complete Genome,representative genome,WTSI,OK
konstantinidis_2005,25,0,1,2,1,5416249,1,2,2,2,0,0,1,5416249,5431377,5431377,90,Complete Genome,na,Zhejiang Tianke High Technology Development Co.Ltd.,OK
konstantinidis_2005,26,0,1,2,1,5224283,1,2,2,2,0,0,1,5224283,5432652,5432652,90,Complete Genome,na,TIGR,Failed
konstantinidis_2005,27,0,1,3,1,5227419,2,3,3,3,0,0,1,5227419,5503926,5503926,90,Complete Genome,representative genome,J. Craig Venter Institute,OK
konstantinidis_2005,28,0,1,6,1,5305318,5,6,6,6,0,0,1,5305318,5846781,5846781,90,Complete Genome,na,Los Alamos National Laboratory,Inconclusive
konstantinidis_2005,29,0,1,1,1,4403837,0,1,1,1,0,0,1,4403837,4403837,4403837,90,Complete Genome,na,TIGR,OK
konstantinidis_2005,30,0,1,1,1,4411532,0,1,1,1,0,0,1,4411532,4411532,4411532,90,Complete Genome,reference genome,Sanger Institute,OK
konstantinidis_2005,31,0,1,1,1,4411814,0,1,1,1,0,0,1,4411814,4411814,4411814,90,Complete Genome,na,Academia Sinica,OK
konstantinidis_2005,32,0,1,1,1,4961843,0,1,1,1,0,0,1,4961843,4961843,4961843,90,Complete Genome,na,Jilin Agricultural University,OK
konstantinidis_2005,33,0,1,1,1,1894275,0,1,1,1,0,0,1,1894275,1894275,1894275,90,Complete Genome,na,Osaka Univ.,OK
konstantinidis_2005,34,0,1,1,1,1895017,0,1,1,1,0,0,1,1895017,1895017,1895017,90,Complete Genome,na,Lab of Human Bacterial Pathogenesis,OK
konstantinidis_2005,35,0,1,1,1,1900521,0,1,1,1,0,0,1,1900521,1900521,1900521,90,Complete Genome,na,Lab of Human Bacterial Pathogenesis,OK
konstantinidis_2005,36,0,1,1,1,1831128,0,1,1,1,0,0,1,1831128,1831128,1831128,90,Complete Genome,na,National Center for Global Health and Medicine,OK
konstantinidis_2005,37,0,1,1,1,2160267,0,1,1,1,0,0,1,2160267,2160267,2160267,90,Complete Genome,na,TIGR,OK
konstantinidis_2005,38,0,1,1,1,2211485,0,1,1,1,0,0,1,2211485,2211485,2211485,90,Complete Genome,na,Institut Pasteur,OK
konstantinidis_2005,39,0,1,1,1,2038615,0,1,1,1,0,0,1,2038615,2038615,2038615,90,Complete Genome,na,Eli Lilly and Company,OK
konstantinidis_2005,40,0,1,1,1,2160842,0,1,1,1,0,0,1,2160842,2160842,2160842,90,Complete Genome,na,TIGR,OK
konstantinidis_2005,41,0,1,3,1,2015393,2,3,3,3,0,0,1,2015393,2028032,2028032,90,Complete Genome,representative genome,UConn Health,OK
konstantinidis_2005,42,0,1,2,1,2878529,1,2,2,2,0,0,1,2878529,2903636,2903636,90,Complete Genome,na,Juntendo Univ.,OK
konstantinidis_2005,43,0,1,2,1,2814816,1,2,2,2,0,0,1,2814816,2839469,2839469,90,Complete Genome,na,Juntendo Univ.,OK
konstantinidis_2005,44,0,1,1,1,2820462,0,1,1,1,0,0,1,2820462,2820462,2820462,90,Complete Genome,na,NITE,OK
konstantinidis_2005,45,0,1,1,1,2902619,0,1,1,1,0,0,1,2902619,2902619,2902619,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,46,0,1,2,1,2799802,1,2,2,2,0,0,1,2799802,2820454,2820454,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,47,0,1,2,1,2504425,1,2,2,2,0,0,1,2504425,2526403,2526403,90,Complete Genome,na,Korea Centers for Disease Control and Prevention,OK
konstantinidis_2005,48,0,1,2,1,2616530,1,2,2,2,0,0,1,2616530,2643840,2643840,90,Complete Genome,na,TIGR,OK
konstantinidis_2005,49,0,1,1,1,5076188,0,1,1,1,0,0,1,5076188,5076188,5076188,90,Complete Genome,na,Sao Paulo state (Brazil) Consortium,Inconclusive
konstantinidis_2005,50,0,1,4,1,5153455,3,4,4,4,0,0,1,5153455,5296525,5296525,90,Complete Genome,na,Shanghai Jiao Tong University,Failed
konstantinidis_2005,51,0,1,2,1,2519802,1,2,2,2,0,0,1,2519802,2521148,2521148,90,Complete Genome,representative genome,Sao Paulo state (Brazil) Consortium,OK
konstantinidis_2005,52,0,1,3,1,2679306,2,3,3,3,0,0,1,2679306,2731750,2731750,90,Complete Genome,na,Sao Paulo state (Brazil) Consortium,OK
konstantinidis_2005,53,0,2,2,1,3281866,0,2,2,2,0,0,1,3281866,5126696,5126696,90,Complete Genome,na,Chonnam Univ.,Inconclusive
konstantinidis_2005,54,0,2,3,1,3354505,1,3,3,3,0,0,1,3354505,5260086,5260086,90,Complete Genome,na,"NHRI, Taiwan",Inconclusive
konstantinidis_2005,55,0,1,1,1,1698366,0,1,1,1,0,0,1,1698366,1698366,1698366,90,Complete Genome,na,Icahn School of Medicine at Mount Sinai,OK
konstantinidis_2005,56,0,1,1,1,1667892,0,1,1,1,0,0,1,1667892,1667892,1667892,90,Complete Genome,na,RIPCM,OK
konstantinidis_2005,57,0,2,2,1,2117144,0,2,2,2,0,0,1,2117144,3294931,3294931,90,Complete Genome,representative genome,Integrated Genomics,OK
konstantinidis_2005,58,0,2,2,1,2107794,0,2,2,2,0,0,1,2107794,3315175,3315175,90,Complete Genome,representative genome,NITE/TIGR,OK
konstantinidis_2005,59,0,1,1,1,1268755,0,1,1,1,0,0,1,1268755,1268755,1268755,90,Complete Genome,representative genome,CNRS,OK
konstantinidis_2005,60,0,1,1,1,1109804,0,1,1,1,0,0,1,1109804,1109804,1109804,90,Complete Genome,representative genome,Los Alamos National Laboratory,OK
konstantinidis_2005,61,0,1,2,1,3031430,1,2,2,2,0,0,1,3031430,3085740,3085740,90,Complete Genome,na,Univ. Kyushu,OK
konstantinidis_2005,62,0,1,1,1,3256683,0,1,1,1,0,0,1,3256683,3256683,3256683,90,Complete Genome,representative genome,TIGR,OK
konstantinidis_2005,63,0,1,1,1,927303,0,1,1,1,0,0,1,927303,927303,927303,90,Complete Genome,na,Genoscope,OK
konstantinidis_2005,64,0,1,1,1,925938,0,1,1,1,0,0,1,925938,925938,925938,90,Complete Genome,representative genome,Sanger Institute,OK
konstantinidis_2005,65,0,2,2,1,3985223,0,2,2,2,0,0,1,3985223,7085397,7085397,90,Complete Genome,representative genome,Los Alamos National Laboratory,OK
konstantinidis_2005,66,0,2,2,1,3471484,0,2,2,2,0,0,1,3471484,5592049,5592049,90,Complete Genome,representative genome,USAMRIID,OK
konstantinidis_2005,67,0,1,1,1,3447085,0,1,1,1,0,0,1,3447085,3447085,3447085,90,Complete Genome,na,Centers for Disease Control and Prevention,OK
konstantinidis_2005,68,0,1,2,1,3503610,1,2,2,2,0,0,1,3503610,3635495,3635495,90,Complete Genome,na,Institut Pasteur,OK
konstantinidis_2005,69,0,1,2,1,3345687,1,2,2,2,0,0,1,3345687,3405519,3405519,90,Complete Genome,na,Institut Pasteur,OK
snitkin_2012,0,0,1,4,1,5394056,3,4,4,4,0,0,1,5394056,5766615,5766615,90,Complete Genome,na,NIH Intramural Sequencing Center,OK
snitkin_2012,1,0,0,147,13,154879,0,0,147,0,0,147,13,154879,5724800,5724800,1,Contig,na,NIH Intramural Sequencing Center,OK
snitkin_2012,2,0,0,173,15,120800,0,0,173,0,0,173,15,120800,5718058,5718058,1,Contig,na,NIH Intramural Sequencing Center,OK
snitkin_2012,3,0,0,168,15,126254,0,0,168,0,0,168,15,126254,5716297,5716297,1,Contig,na,NIH Intramural Sequencing Center,OK
snitkin_2012,4,0,0,149,14,130041,0,0,149,0,0,149,14,130041,5714943,5714943,1,Contig,na,NIH Intramural Sequencing Center,OK
snitkin_2012,5,0,0,160,13,158114,0,0,160,0,0,160,13,158114,5723848,5723848,1,Contig,na,NISC,OK
snitkin_2012,6,0,0,182,12,158021,0,0,182,0,0,182,12,158021,5714705,5714705,1,Contig,na,NISC,OK
snitkin_2012,7,0,0,115,11,178365,0,0,115,0,0,115,11,178365,5720331,5720331,1,Contig,na,NISC,OK
snitkin_2012,8,0,1,4,1,5395263,3,4,4,4,0,0,1,5395263,5767822,5767822,90,Complete Genome,na,NISC,OK
snitkin_2012,9,0,0,185,13,150495,0,0,185,0,0,185,13,150495,5714016,5714016,1,Contig,na,NISC,OK
snitkin_2012,10,0,0,164,14,149661,0,0,164,0,0,164,14,149661,5719358,5719358,1,Contig,na,NISC,OK
snitkin_2012,11,0,0,165,14,147593,0,0,165,0,0,165,14,147593,5723355,5723355,1,Contig,na,NISC,OK
snitkin_2012,12,0,0,178,12,158009,0,0,178,0,0,178,12,158009,5715478,5715478,1,Contig,na,NISC,OK
snitkin_2012,13,0,0,137,11,158097,0,0,137,0,0,137,11,158097,5715795,5715795,1,Contig,na,NISC,OK
snitkin_2012,14,0,0,167,12,153222,0,0,167,0,0,167,12,153222,5769474,5769474,1,Contig,na,NISC,OK
snitkin_2012,15,0,0,201,18,98646,0,0,201,0,0,201,18,98646,5715894,5715894,1,Contig,na,NISC,OK
snitkin_2012,16,0,0,155,12,167325,0,0,155,0,0,155,12,167325,5724448,5724448,1,Contig,na,NISC,OK
snitkin_2012,17,0,0,178,16,117020,0,0,178,0,0,178,16,117020,5757750,5757750,1,Contig,na,NISC,OK
snitkin_2012,18,0,0,165,16,131068,0,0,165,0,0,165,16,131068,5749696,5749696,1,Contig,na,NISC,OK
snitkin_2012,19,0,0,338,38,47638,0,0,338,0,0,338,38,47638,5740386,5740386,1,Contig,na,NISC,OK
ondov_2016,1,0,0,235,47,29757,0,0,235,0,0,235,47,29757,4422416,4422416,1,Contig,na,National Institute of Technology and Evaluation (NITE),Inconclusive
ondov_2016,2,0,0,55,7,211214,0,0,55,0,0,55,7,211214,4374581,4374581,1,Contig,na,National Institute of Technology and Evaluation (NITE),OK
ondov_2016,3,0,0,37,4,515979,0,0,12,0,0,12,1,4447089,4754090,4693951,2,Scaffold,na,Broad Institute,Inconclusive
ondov_2016,4,0,0,47,6,229669,0,0,7,0,0,7,1,3399314,4527146,4486744,2,Scaffold,na,Broad Institute,OK
ondov_2016,5,0,0,29,4,454369,0,0,9,0,0,9,2,1222044,4556979,4514939,2,Scaffold,na,Broad Institute,Inconclusive
ondov_2016,6,0,0,49,8,157654,0,0,9,0,0,9,1,2568223,4647930,4615592,2,Scaffold,na,Broad Institute,OK
ondov_2016,7,0,0,33,6,229293,0,0,4,0,0,4,1,3110876,4608490,4592997,2,Scaffold,na,Broad Institute,OK
ondov_2016,8,0,0,48,7,192611,0,0,7,0,0,7,1,3535769,4809500,4776266,2,Scaffold,na,Broad Institute,OK
ondov_2016,9,0,0,75,9,215266,0,0,12,0,0,12,1,5135999,5335010,5234805,2,Scaffold,na,Broad Institute,OK
ondov_2016,10,0,1,1,1,4701875,0,1,1,1,0,0,1,4701875,4701875,4701875,90,Complete Genome,na,"Department of Microbiology, Medical University of Bialystok",OK
ondov_2016,11,0,0,218,29,44977,0,0,130,0,0,130,20,75189,4505904,4493998,2,Scaffold,na,National institute for communicable disease control and prevention China CDC,OK
ondov_2016,12,0,0,174,20,77329,0,0,47,0,0,47,1,2494410,4836424,4708151,2,Scaffold,na,Broad Institute,OK
ondov_2016,13,0,0,65,8,202046,0,0,8,0,0,8,1,2711194,4911206,4905506,2,Scaffold,na,Broad Institute,OK
ondov_2016,14,0,0,104,8,213698,0,0,12,0,0,12,2,953648,5153453,5144253,2,Scaffold,na,Broad Institute,OK
ondov_2016,15,0,0,64,4,395133,0,0,43,0,0,43,1,4671083,4746590,4698533,2,Scaffold,na,J Craig Venter Institute,OK
ondov_2016,16,0,0,41,6,284983,0,0,20,0,0,20,1,2917620,4775957,4768896,2,Scaffold,na,Broad Institute,OK
ondov_2016,17,0,0,29,3,349091,0,0,29,0,0,29,3,349091,4494663,4494663,1,Contig,na,Canadian Food Inspection Agency,OK
ondov_2016,18,0,0,39,6,336937,0,0,39,0,0,39,6,336937,4644753,4644753,1,Contig,na,Canadian Food Inspection Agency,OK
ondov_2016,19,0,0,22,3,403657,0,0,22,0,0,22,3,403657,4764067,4764067,1,Contig,na,Canadian Food Inspection Agency,OK
ondov_2016,20,0,0,495,73,19809,0,0,495,0,0,495,73,19809,4736748,4736748,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",Inconclusive
ondov_2016,21,0,0,328,51,28680,0,0,328,0,0,328,51,28680,4473145,4473145,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",Inconclusive
ondov_2016,22,0,0,1,1,4809826,0,0,1,0,0,1,1,4809826,4809826,4809826,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",OK
ondov_2016,23,0,0,453,59,27634,0,0,453,0,0,453,59,27634,5191154,5191154,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",OK
ondov_2016,24,0,0,533,75,19725,0,0,533,0,0,533,75,19725,4679425,4679425,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",Inconclusive
ondov_2016,25,0,0,370,52,27943,0,0,370,0,0,370,52,27943,4513494,4513494,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",OK
ondov_2016,26,0,0,517,68,22152,0,0,517,0,0,517,68,22152,5265422,5265422,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",OK
ondov_2016,27,0,0,392,57,24675,0,0,392,0,0,392,57,24675,4725874,4725874,1,Contig,na,"Georgia Institute of Technology, School of Civil and Environmental Engineering",OK
ondov_2016,28,0,1,83,10,156910,5,6,6,6,0,0,1,4509864,4866106,4857906,3,Chromosome,na,"McGill University, Canada",OK
ondov_2016,29,0,1,5,1,4988504,4,5,5,5,0,0,1,4988504,5220473,5220473,90,Complete Genome,na,Wellcome Trust Sanger Insititute,OK
ondov_2016,30,0,1,2,1,4519823,1,2,2,2,0,0,1,4519823,4646520,4646520,90,Complete Genome,na,Microbial Genome Center of ChMPH,OK
ondov_2016,31,0,1,5,1,4825265,4,5,5,5,0,0,1,4825265,5055316,5055316,90,Complete Genome,na,Microbial Genome Center of ChMPH,OK
ondov_2016,32,0,1,1,1,4574284,0,1,1,1,0,0,1,4574284,4574284,4574284,90,Complete Genome,na,Microbial Genome Center of ChMPH,OK
ondov_2016,33,0,1,6,1,4650856,5,6,6,6,0,0,1,4650856,4894492,4894492,90,Complete Genome,na,Chinese Center for Disease Control and Prevention,OK
ondov_2016,34,0,0,165,11,141339,0,0,165,0,0,165,11,141339,4864228,4864228,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,35,0,0,491,35,34204,0,0,491,0,0,491,35,34204,4689099,4689099,1,Contig,na,University of Maryland School of Medicine,OK
ondov_2016,36,0,0,869,47,26344,0,0,869,0,0,869,47,26344,4669004,4669004,1,Contig,na,University of Maryland School of Medicine,OK
ondov_2016,37,0,0,222,17,85696,0,0,222,0,0,222,17,85696,4805235,4805235,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,38,0,0,582,41,38370,0,0,582,0,0,582,41,38370,5069695,5069695,1,Contig,na,Institute for Genome Sciences,Inconclusive
ondov_2016,39,0,0,234,20,82405,0,0,234,0,0,234,20,82405,4843790,4843790,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,40,0,0,274,12,131483,0,0,274,0,0,274,12,131483,4790151,4790151,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,41,0,0,274,21,71731,0,0,274,0,0,274,21,71731,4815370,4815370,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,42,0,0,479,28,49222,0,0,479,0,0,479,28,49222,4610666,4610666,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,43,0,0,247,19,74704,0,0,247,0,0,247,19,74704,4798162,4798162,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,44,0,0,402,30,45801,0,0,402,0,0,402,30,45801,4673236,4673236,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,45,0,0,249,11,132661,0,0,249,0,0,249,11,132661,4711626,4711626,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,46,0,0,288,22,70525,0,0,288,0,0,288,22,70525,4583415,4583415,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,47,0,0,124,9,152347,0,0,124,0,0,124,9,152347,4835559,4835559,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,48,0,0,185,14,120788,0,0,185,0,0,185,14,120788,4817878,4817878,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,49,0,0,335,23,55416,0,0,335,0,0,335,23,55416,4832830,4832830,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,50,0,0,138,11,131592,0,0,138,0,0,138,11,131592,4800746,4800746,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,51,0,0,174,12,135089,0,0,174,0,0,174,12,135089,4821210,4821210,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,52,0,0,341,14,102914,0,0,341,0,0,341,14,102914,4552076,4552076,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,53,0,0,166,12,160619,0,0,166,0,0,166,12,160619,4788006,4788006,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,54,0,0,95,4,448942,0,0,95,0,0,95,4,448942,4893156,4893156,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,55,0,0,57,3,527526,0,0,57,0,0,57,3,527526,4885496,4885496,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,56,0,0,110,5,291198,0,0,110,0,0,110,5,291198,4924296,4924296,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,57,0,0,92,9,156269,0,0,92,0,0,92,9,156269,4862336,4862336,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,58,0,0,86,6,290317,0,0,86,0,0,86,6,290317,4883415,4883415,1,Contig,na,Institute for Genome Sciences,OK
ondov_2016,59,0,1,1,1,4595814,0,1,1,1,0,0,1,4595814,4595814,4595814,90,Complete Genome,na,Institute for Communicable Disease Control and Prevention,OK
ondov_2016,60,0,1,1,1,4620903,0,1,1,1,0,0,1,4620903,4620903,4620903,90,Complete Genome,na,Institute for Communicable Disease Control and Prevention,OK
ondov_2016,61,0,0,196,27,57598,4,4,196,0,20,176,27,57598,4866173,4866173,2,Scaffold,na,Korea National Institute of Health,OK
ondov_2016,62,0,0,282,33,46079,0,0,255,0,0,255,33,46079,4890132,4888806,8,Scaffold,na,CSIR-IMTECH,OK
ondov_2016,63,0,0,160,19,70546,0,0,146,0,0,146,19,77053,4592091,4591698,8,Scaffold,representative genome,CSIR-IMTECH,OK
ondov_2016,64,0,0,767,101,11467,0,0,761,0,0,761,99,11655,4161150,4161090,8,Scaffold,na,Igenbio Inc,OK
ondov_2016,65,0,0,779,101,11514,0,0,778,0,0,778,101,11514,4197686,4197676,8,Scaffold,na,Igenbio Inc,OK
ondov_2016,66,0,0,360,55,27262,0,0,335,0,0,335,52,27675,4441353,4439018,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,67,0,0,345,49,28561,0,0,307,0,0,307,43,30154,4522009,4518020,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,68,0,0,377,53,25887,0,0,322,0,0,322,47,29048,4444221,4437649,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,69,0,0,330,45,30158,0,0,293,0,0,293,41,33667,4505237,4501628,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,70,0,0,325,45,30158,0,0,301,0,0,301,42,33346,4522095,4519823,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,71,0,0,348,46,29786,0,0,317,0,0,317,43,30807,4526441,4523541,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,72,0,0,326,45,29511,0,0,299,0,0,299,43,30162,4441056,4437075,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,73,0,0,341,48,29507,0,0,316,0,0,316,45,30352,4492694,4490549,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,74,0,0,328,46,30039,0,0,302,0,0,302,43,33324,4455484,4452586,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,75,0,0,323,46,30044,0,0,296,0,0,296,42,31815,4424641,4422487,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,76,0,0,327,46,30162,0,0,299,0,0,299,42,33389,4536069,4533108,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,77,0,0,329,46,29617,0,0,306,0,0,306,43,30446,4485647,4481977,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,78,0,0,323,47,29499,0,0,301,0,0,301,44,30150,4423054,4421223,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,79,0,0,348,44,30043,0,0,322,0,0,322,44,30162,4512921,4510138,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,80,0,0,327,46,30039,0,0,297,0,0,297,41,33667,4520433,4517371,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,81,0,0,332,47,29932,0,0,302,0,0,302,43,30445,4443389,4441255,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,82,0,0,537,48,29064,0,0,506,0,0,506,45,30162,4615572,4611847,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,83,0,0,336,47,30154,0,0,306,0,0,306,43,33275,4589822,4586315,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,84,0,0,326,46,30043,0,0,299,0,0,299,42,33512,4470490,4467359,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,85,0,0,318,47,30039,0,0,295,0,0,295,43,33281,4450677,4448498,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,86,0,0,322,47,29499,0,0,300,0,0,300,43,30433,4461933,4460010,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,87,0,0,326,46,29853,0,0,301,0,0,301,44,30038,4444602,4441805,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,88,0,0,320,45,28811,0,0,274,0,0,274,41,31327,4366557,4363377,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,89,0,0,326,47,27071,0,0,278,0,0,278,41,31273,4285434,4279802,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,90,0,0,593,99,13150,0,0,272,0,0,272,42,33729,4365839,4331883,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,91,0,0,543,92,14533,0,0,245,0,0,245,40,33664,4253999,4220468,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,92,0,0,631,98,13332,0,0,257,0,0,257,41,33162,4336954,4298219,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,93,0,0,508,89,14525,0,0,254,0,0,254,41,32820,4196821,4164991,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,94,0,0,548,90,14848,0,0,295,0,0,295,43,31370,4453472,4425352,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
ondov_2016,95,0,0,657,111,11804,0,0,301,0,0,301,42,32973,4448267,4407311,8,Scaffold,na,Chinese Center for Disease Control and Prevention (China CDC),OK
