data_set,ds_index,taxid
ondov_2016,188,1081887
ondov_2016,189,1089445
ondov_2016,190,1090927
ondov_2016,191,1116007
ondov_2016,192,1116013
ondov_2016,193,1116018
ondov_2016,194,1116023
ondov_2016,195,1116027
ondov_2016,196,1116036
ondov_2016,197,1116045
ondov_2016,198,1116051
ondov_2016,199,1116052
ondov_2016,200,1116061
ondov_2016,201,1116069
ondov_2016,202,1116077
ondov_2016,203,1116084
ondov_2016,204,1116090
ondov_2016,205,1116095
ondov_2016,206,1116098
ondov_2016,207,1116101
ondov_2016,208,1116102
ondov_2016,209,1116116
ondov_2016,210,1116126
ondov_2016,211,1116130
ondov_2016,212,1116136
ondov_2016,213,1116140
ondov_2016,214,1116144
ondov_2016,215,1116152
ondov_2016,216,1116155
ondov_2016,217,1116158
ondov_2016,218,1116181
ondov_2016,219,1116190
ondov_2016,220,1116193
ondov_2016,221,1124985
ondov_2016,222,1125641
ondov_2016,223,1125650
ondov_2016,224,1126898
ondov_2016,225,1126904
ondov_2016,226,1126915
ondov_2016,227,1151217
ondov_2016,228,1151250
ondov_2016,229,1165949
ondov_2016,230,1167694
ondov_2016,231,1169315
ondov_2016,232,1169316
ondov_2016,233,1169342
ondov_2016,234,1169346
ondov_2016,235,1169352
ondov_2016,236,1169354
ondov_2016,237,1169363
ondov_2016,238,1169365
ondov_2016,239,1169378
ondov_2016,240,1169382
ondov_2016,241,1169392
ondov_2016,242,1169402
ondov_2016,243,1169663
ondov_2016,244,1169664
ondov_2016,245,1181733
ondov_2016,246,1181749
ondov_2016,247,1181750
ondov_2016,248,1181757
ondov_2016,249,1181766
ondov_2016,250,1181781
ondov_2016,251,1182662
ondov_2016,252,1182669
ondov_2016,253,1182671
ondov_2016,254,1182678
ondov_2016,255,1182680
ondov_2016,256,1182686
ondov_2016,257,1182691
ondov_2016,258,1182693
ondov_2016,259,1182699
ondov_2016,260,1182707
ondov_2016,261,1182711
ondov_2016,262,1182715
ondov_2016,263,1182721
ondov_2016,264,1182723
ondov_2016,265,1182724
ondov_2016,266,1182735
ondov_2016,267,1182738
ondov_2016,268,1227814
ondov_2016,269,1240762
ondov_2016,270,1240775
ondov_2016,271,1240776
ondov_2016,272,1240778
ondov_2016,273,1248823
ondov_2016,274,1248915
ondov_2016,275,1268976
ondov_2016,276,1268989
ondov_2016,277,1268991
ondov_2016,278,1268994
ondov_2016,279,1280961
ondov_2016,280,1280962
ondov_2016,281,1280970
ondov_2016,282,1280974
ondov_2016,283,1280976
ondov_2016,284,1280978
ondov_2016,285,1280995
ondov_2016,286,1281028
ondov_2016,287,1281062
ondov_2016,288,1281064
ondov_2016,289,1281085
ondov_2016,290,1281087
ondov_2016,291,1281108
ondov_2016,292,1281123
ondov_2016,293,1281141
ondov_2016,294,1281149
ondov_2016,295,1281156
ondov_2016,296,1281166
ondov_2016,297,1281183
ondov_2016,298,1281187
ondov_2016,299,1281188
ondov_2016,300,1281212
ondov_2016,301,1281214
ondov_2016,302,1281215
ondov_2016,303,1281234
ondov_2016,304,1281236
ondov_2016,305,1281239
ondov_2016,306,1281241
ondov_2016,307,1281244
ondov_2016,308,1281258
ondov_2016,309,1281270
ondov_2016,310,1281278
ondov_2016,311,1286331
ondov_2016,312,1286332
ondov_2016,313,1286350
ondov_2016,314,1286354
ondov_2016,315,1317130
ondov_2016,316,1317131
ondov_2016,317,1322345
ondov_2016,318,1328440
ondov_2016,319,1331062
ondov_2016,320,1333596
ondov_2016,321,1337385
ondov_2016,322,1387071
ondov_2016,323,1389416
ondov_2016,324,1389419
ondov_2016,325,1389420
ondov_2016,326,1389424
ondov_2016,327,1392853
ondov_2016,328,1392870
ondov_2016,329,1405294
ondov_2016,330,1411694
ondov_2016,331,1411696
ondov_2016,332,1412821
ondov_2016,333,1412833
ondov_2016,334,1412834
ondov_2016,335,1438673
ondov_2016,336,1438681
ondov_2016,337,1438682
ondov_2016,338,1438683
ondov_2016,339,1438686
ondov_2016,340,1438695
ondov_2016,341,1444048
ondov_2016,342,1444055
ondov_2016,343,1444088
ondov_2016,344,1444108
ondov_2016,345,1444121
ondov_2016,346,1444127
ondov_2016,347,1444128
ondov_2016,348,1444129
ondov_2016,349,1444134
ondov_2016,350,1444135
ondov_2016,351,1444147
ondov_2016,352,1444154
ondov_2016,353,1444163
ondov_2016,354,1444165
ondov_2016,355,1444186
ondov_2016,356,1444190
ondov_2016,357,1444194
ondov_2016,358,1444196
ondov_2016,359,1444209
ondov_2016,360,1444215
ondov_2016,361,1444216
ondov_2016,362,1444224
ondov_2016,363,1444236
ondov_2016,364,1444240
ondov_2016,365,1444258
ondov_2016,366,1444265
ondov_2016,367,1444267
ondov_2016,368,1444282
ondov_2016,369,1446498
ondov_2016,370,1446515
ondov_2016,371,1446516
ondov_2016,372,1446517
ondov_2016,373,1446548
ondov_2016,374,1446555
ondov_2016,375,1446562
ondov_2016,376,1446612
ondov_2016,377,1446621
ondov_2016,378,1446630
ondov_2016,379,1446637
ondov_2016,380,1446644
ondov_2016,381,1446647
ondov_2016,382,1446652
ondov_2016,383,1446658
ondov_2016,384,1446661
ondov_2016,385,1446688
ondov_2016,386,1446689
ondov_2016,387,1446700
ondov_2016,388,1446726
ondov_2016,389,1446734
ondov_2016,390,1446748
ondov_2016,391,1446750
ondov_2016,392,1455599
ondov_2016,393,155864
ondov_2016,394,511145
ondov_2016,395,550672
ondov_2016,396,562
ondov_2016,397,562
ondov_2016,398,562
ondov_2016,399,562
ondov_2016,400,562
ondov_2016,401,562
ondov_2016,402,562
ondov_2016,403,562
ondov_2016,404,562
ondov_2016,405,562
ondov_2016,406,562
ondov_2016,407,562
ondov_2016,408,562
ondov_2016,409,562
ondov_2016,410,562
ondov_2016,411,562
ondov_2016,412,562
ondov_2016,413,562
ondov_2016,414,562
ondov_2016,415,562
ondov_2016,416,562
ondov_2016,417,562
ondov_2016,418,562
ondov_2016,419,562
ondov_2016,420,562
ondov_2016,421,562
ondov_2016,422,562
ondov_2016,423,562
ondov_2016,424,562
ondov_2016,425,562
ondov_2016,426,562
ondov_2016,427,562
ondov_2016,428,562
ondov_2016,429,562
ondov_2016,430,562
ondov_2016,431,562
ondov_2016,432,562
ondov_2016,433,562
ondov_2016,434,562
ondov_2016,435,562
ondov_2016,436,562
ondov_2016,437,562
ondov_2016,438,562
ondov_2016,439,562
ondov_2016,440,562
ondov_2016,441,562
ondov_2016,442,562
ondov_2016,443,562
ondov_2016,444,562
ondov_2016,445,562
ondov_2016,446,562
ondov_2016,447,562
ondov_2016,448,562
ondov_2016,449,562
ondov_2016,450,562
ondov_2016,451,562
ondov_2016,452,562
ondov_2016,453,562
ondov_2016,454,562
ondov_2016,455,562
ondov_2016,456,562
ondov_2016,457,562
ondov_2016,458,562
ondov_2016,459,562
ondov_2016,460,562
ondov_2016,461,562
ondov_2016,462,562
ondov_2016,463,562
ondov_2016,464,562
ondov_2016,465,562
ondov_2016,466,562
ondov_2016,467,562
ondov_2016,468,562
ondov_2016,469,562
ondov_2016,470,562
ondov_2016,471,562
ondov_2016,472,562
ondov_2016,473,656417
ondov_2016,474,656419
ondov_2016,475,670897
ondov_2016,476,702433
ondov_2016,477,702434
ondov_2016,478,749545
ondov_2016,479,754079
ondov_2016,480,1078030
ondov_2016,481,868133
ondov_2016,482,868167
ondov_2016,483,868180
ondov_2016,484,868183
ondov_2016,485,868185
ondov_2016,486,868191
ondov_2016,487,869669
ondov_2016,488,869672
ondov_2016,489,869679
ondov_2016,490,869687
ondov_2016,491,869693
ondov_2016,492,997825
200726_gold_standard,0,
200726_gold_standard,1,
200726_gold_standard,2,
200726_gold_standard,3,
200726_gold_standard,4,
200726_gold_standard,5,
200726_gold_standard,6,
200726_gold_standard,7,
200726_gold_standard,8,
200726_gold_standard,9,
200726_gold_standard,10,
200726_gold_standard,11,
200726_gold_standard,12,
200726_gold_standard,13,
200726_gold_standard,14,
200726_gold_standard,15,
200726_gold_standard,16,
200726_gold_standard,17,
200726_gold_standard,18,
200726_gold_standard,19,
200726_gold_standard,20,
200726_gold_standard,21,
200726_gold_standard,22,
200726_gold_standard,23,
200726_gold_standard,24,
200726_gold_standard,25,
200726_gold_standard,26,
200726_gold_standard,27,
200726_gold_standard,28,
200726_gold_standard,29,
200726_gold_standard,30,
200726_gold_standard,31,
200726_gold_standard,32,
200726_gold_standard,33,
200726_gold_standard,34,
200726_gold_standard,35,
200726_gold_standard,36,
200726_gold_standard,37,
200726_gold_standard,38,
200726_gold_standard,39,
200726_gold_standard,40,
200726_gold_standard,41,
200726_gold_standard,42,
200726_gold_standard,43,
200726_gold_standard,44,
200726_gold_standard,45,
200726_gold_standard,46,
200726_gold_standard,47,
200726_gold_standard,48,
200726_gold_standard,49,
200726_gold_standard,50,
200726_gold_standard,51,
200726_gold_standard,52,
200726_gold_standard,53,
200726_gold_standard,54,
200726_gold_standard,55,
200726_gold_standard,56,
200726_gold_standard,57,
200726_gold_standard,58,
200726_gold_standard,59,
200726_gold_standard,60,
200726_gold_standard,61,
200726_gold_standard,62,
200726_gold_standard,63,
200726_gold_standard,64,
200726_gold_standard,65,
200726_gold_standard,66,
200726_gold_standard,67,
200726_gold_standard,68,
200726_gold_standard,69,
200726_gold_standard,70,
200726_gold_standard,71,
200726_gold_standard,72,
200726_gold_standard,73,
200726_gold_standard,74,
200726_gold_standard,75,
200726_gold_standard,76,
200726_gold_standard,77,
200726_gold_standard,78,
200726_gold_standard,79,
